states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
California,Huntington Park,"59,079",631.4,6.8,15.2,411.3,198.0,3244.8,407.9,1723.1,1113.8
Kansas,Hutchinson,"42,357",618.6,2.4,61.4,56.7,498.1,5947.1,1185.2,4469.2,292.7
Idaho,Idaho Falls,"58,037",239.5,0.0,44.8,22.4,172.3,2937.8,475.6,2345.1,117.2
New York,Irondequoit Town,"52,045",151.8,1.9,7.7,71.1,71.1,3137.7,637.9,2397.9,101.8
New Jersey,Irvington,"54,274",1304.5,16.6,36.9,597.0,654.1,3624.2,1037.3,1468.5,1118.4
New Jersey,Jackson Township,"55,400",283.1,0.0,10.8,16.2,,1355.6,514.4,817.7,23.5
Missouri,Jefferson City,"43,413",601.2,4.6,27.6,89.8,479.1,3653.3,541.3,3019.8,92.1
Indiana,Jeffersonville,"45,640",955.3,4.4,4.4,78.9,867.7,4263.8,898.3,3054.3,311.1
Missouri,Joplin,"50,654",568.6,3.9,53.3,138.2,373.1,7576.9,1289.1,5764.6,523.2
Florida,Jupiter,"56,674",202.9,0.0,19.4,65.3,118.2,2110.3,414.7,1619.8,75.9
New Jersey,Kearny,"41,310",242.1,0.0,7.3,128.3,106.5,2147.2,297.7,1532.3,317.1
Texas,Keller,"41,137",36.5,0.0,4.9,9.7,21.9,943.2,175.0,736.6,31.6
Ohio,Kettering,"56,423",88.6,0.0,39.0,35.4,14.2,2288.1,561.8,1657.1,69.1
Tennessee,Kingsport,"49,639",739.3,4.0,62.5,100.7,572.1,5942.9,868.3,4808.7,265.9
Washington,Kirkland,"50,243",183.1,0.0,27.9,47.8,107.5,3292.0,656.8,2462.0,173.2
Indiana,Kokomo,"45,636",387.9,8.8,32.9,133.7,212.6,4069.2,1012.4,2835.5,221.3
Wisconsin,La Crosse,"51,851",297.0,7.7,40.5,73.3,175.5,3768.5,779.2,2894.8,94.5
California,La Mesa,"58,444",383.3,3.4,18.8,150.6,210.5,2963.5,600.6,2019.0,343.9
California,La Mirada,"49,312",198.7,4.1,8.1,40.6,146.0,1573.7,344.7,1020.0,208.9
California,La Puente,"40,479",298.9,7.4,14.8,103.8,172.9,1287.1,271.7,625.0,390.3
