City,State,Cost of Living Index,State_Code,State_Name,Mean,Median,county_name,population,density,timezone,zips,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december,safety_index,education_score
corvallis,or,110.6,41,oregon,67727,57997,Benton,67187,1603.1,America/Los_Angeles,97333 97331 97330 97339,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778,85,80
danville,il,83.9,17,illinois,46943,34671,Vermilion,29100,629.2,America/Chicago,61834 61832,30.31,27.58,34.64,46.15,57.59,68.37,73.99,74.15,71.15555555555555,62.400000000000006,48.48888888888889,37.355555555555554,45,55
danville,va,87.1,51,virginia,26700,14468,Danville,42507,383.5,America/New_York,24540 24541,38.42,37.34,42.53,50.66,60.16,68.39,74.15,75.25,71.69999999999999,64.21111111111111,52.6,43.68888888888889,50,60
dayton,oh,88.4,39,ohio,35399,29833,Montgomery,668825,950,America/New_York,45432 45469 45402 45403 45406 45404 45405 45409 45428 45420 45423 45424 45410 45414 45417 45419 45377 45401 45412 45422 45481 45490,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556,40,60
decatur,al,88.6,1,alabama,65126,49578,Morgan,57525,406.8,America/Chicago,35603 35601 35602 35609,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666,55,55
decatur,il,84.9,17,illinois,36247,27566,Macon,86231,634,America/Chicago,62522 62523 62521 62526 62524 62525,30.31,27.58,34.64,46.15,57.59,68.37,73.99,74.15,71.15555555555555,62.400000000000006,48.48888888888889,37.355555555555554,50,60
denver,co,112.1,8,colorado,117162,109574,Denver,2687458,1792.9,America/Denver,80264 80266 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80218 80210 80212 80216 80221 80220 80223 80222 80224 80227 80219 80211 80209 80207 80206 80205 80204 80202 80203 80208 80217 80243 80248 80250 80256 80257 80259 80261 80265 80271 80273 80274 80281 80291 80299,26.9,27.43,32.84,40.45,47.98,58.52,66.84,67.9,63.75555555555555,54.04444444444445,42.01111111111111,32.1,70,75
des moines,ia,91.7,19,iowa,120279,300000,Polk,548926,933.4,America/Chicago,50309 50312 50314 50315 50316 50317 50310 50313 50319 50321 50320 50311 50301 50302 50303 50304 50305 50306 50307 50308 50318 50328 50329 50330 50331 50332 50335 50340 50380 50381 50391 50392 50393 50394 50395 50396 50936 50940 50947 50950 50980 50981 50982 50983,23.51,20.47,28.56,41.68,53.55,65.56,72.22999999999999,72.08,68.43333333333334,58.55555555555556,43.91111111111111,31.8,75,75
detroit,mi,93.2,26,michigan,36811,25417,Wayne,3725908,1772.2,America/Detroit,48209 48208 48202 48201 48207 48206 48205 48204 48227 48238 48239 48234 48235 48233 48203 48243 48228 48226 48214 48215 48216 48217 48210 48211 48212 48213 48219 48224 48221 48223 48231 48232 48244 48255 48260 48264 48266 48267 48268 48269 48272 48275 48277 48278 48279 48288,23.95,20.21,25.22,35.96,48.440000000000005,60.07000000000001,66.99,68.59,64.69999999999999,55.34444444444445,42.47777777777778,31.47777777777777,30,50
dothan,al,86.3,1,alabama,58553,45033,Houston,73037,303.8,America/Chicago,36303 36301 36305 36321 36302 36304,47.94,47.85,53.67,59.98,67.05,74.59,79.2,79.95,77.9,71.35555555555555,60.15555555555555,52.16666666666666,65,55
