states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft,total_crime,tot_violent_crime,tot_prop_crim,arson
Michigan,West Bloomfield Township,"65,157",55.3,3.1,3.1,13.8,35.3,"1,059.0",227.1,813.4,18.4,,,,
Connecticut,West Hartford,"63,487",72.5,-,3.2,55.1,14.2,"2,669.8",382.8,"2,123.3",163.8,,,,
Michigan,Westland,"83,299",405.8,1.2,73.2,96.0,235.3,"2,893.2",690.3,"1,806.7",396.2,,,,
California,Westminster,"91,908",309.0,2.2,9.8,95.7,201.3,"3,128.1",507.0,"2,269.7",351.4,,,,
Florida,Weston,"67,452",91.9,3.0,7.4,20.8,60.8,980.0,219.4,730.9,29.7,,,,
California,Whittier,"86,740",284.8,-,11.5,93.4,179.8,"2,884.5",517.6,"2,026.7",340.1,,,,
Delaware,Wilmington,"72,088","1,703.5",36.1,47.2,657.5,962.7,"5,304.6","1,681.3","3,117.0",506.3,,,,
Minnesota,Woodbury,"63,190",,-,,11.1,17.4,"2,291.5",305.4,"1,910.1",76.0,,,,
Washington,Yakima,"93,419",605.9,11.8,55.7,162.7,375.7,"6,180.8","1,683.8","3,324.8","1,172.1",,,,
California,Yorba Linda,"65,820",80.5,-,4.6,16.7,59.3,"1,195.7",338.8,808.3,48.6,,,,
Pennsylvania,York Area Regional,"60,732",120.2,1.6,23.1,26.3,69.2,"1,052.2",260.2,759.1,32.9,,,,
Ohio,Youngstown,"66,567","1,027.5",33.0,58.6,366.5,569.4,"5,462.2","2,612.4","2,435.1",414.6,,,,
