City,State,Cost of Living Index,State_Code,State_Name,County,Place,Zip_Code,Mean,Median,city,city_ascii,state_id,state_name,county_name,population,density,timezone,zips,Total.Math,Total.Verbal,Academic Subjects.English.Average GPA,Academic Subjects.Mathematics.Average GPA,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december
boulder,co,118.7,8.0,colorado,Adams County,Brighton city,80304.0,119826.0,300000.0,boulder,Boulder,co,Colorado,Boulder,118090.0,1534.8,America/Denver,80310 80304 80305 80302 80303 80301 80307 80309 80314,588.0,582.0,3.69,3.49,26.9,27.43,32.84,40.45,47.98,58.52,66.84,67.9,63.75555555555555,54.04444444444445,42.01111111111111,32.1
bowling green,ky,87.0,21.0,kentucky,Warren County,Bowling Green city,42104.0,47429.0,35052.0,bowling green,Bowling Green,ky,Kentucky,Warren,99669.0,681.7,America/Chicago,42104 42103 42101 42102,588.0,588.0,3.77,3.67,37.49,35.96,42.12,51.12,60.870000000000005,69.7,74.99,75.77000000000001,72.69999999999999,64.83333333333333,52.27777777777778,42.93333333333333
bozeman,mt,125.3,30.0,montana,Beaverhead County,Wisdom,59715.0,95811.0,300000.0,bozeman,Bozeman,mt,Montana,Gallatin,65279.0,990.1,America/Denver,59718 59715 59719,558.0,561.0,3.69,3.4,22.45,21.76,26.68,36.45,45.41,55.5,64.03999999999999,66.84,60.77777777777778,49.44444444444444,37.2,26.83333333333333
brainerd,mn,97.9,27.0,minnesota,Aitkin County,Aitkin city,56401.0,45447.0,37686.0,brainerd,Brainerd,mn,Minnesota,Crow Wing,14412.0,458.7,America/Chicago,56401,608.0,595.0,3.74,3.57,13.96,10.71,19.21,33.61,47.15,60.34,67.76,68.33,63.64444444444444,52.78888888888889,37.53333333333333,23.48888888888889
branson,mo,89.5,29.0,missouri,Adair County,Kirksville city,65616.0,45554.0,33217.0,branson,Branson,mo,Missouri,Taney,12651.0,228.8,America/Chicago,65616 65615,599.0,596.0,3.7,3.59,34.230000000000004,32.239999999999995,39.18,49.84,59.67999999999999,69.7,75.97,76.3,72.93333333333334,64.07777777777778,50.888888888888886,40.63333333333334
bremerton,wa,115.0,53.0,washington,Kitsap County,Tracyton,98311.0,67621.0,66172.0,bremerton,Bremerton,wa,Washington,Kitsap,226805.0,597.3,America/Los_Angeles,98312 98314 98310 98337,511.0,502.0,3.5,3.22,31.92,33.01,36.760000000000005,42.87,49.86,57.02,63.42999999999999,66.86,62.41111111111112,52.977777777777774,42.922222222222224,34.63333333333333
brownsville,tx,87.8,48.0,texas,Anderson County,Elkhart,78520.0,63223.0,50329.0,brownsville,Brownsville,tx,Texas,Cameron,215269.0,548.4,America/Chicago,78521 78520 78526 78575 78578 78566 78522,487.0,470.0,3.44,3.27,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666
brunswick,ga,94.4,13.0,georgia,Appling County,Baxley city,31525.0,48312.0,31481.0,brunswick,Brunswick,ga,Georgia,Glynn,71160.0,345.8,America/New_York,31520 31521,486.0,490.0,3.47,3.26,49.53,49.39,54.55,60.57000000000001,67.63,74.94,79.42,80.11,77.80000000000001,71.45555555555556,61.1,53.58888888888889
buffalo,ny,97.3,36.0,new york,Albany County,Albany city,14220.0,59820.0,50685.0,buffalo,Buffalo,ny,New York,Erie,944589.0,2645.7,America/New_York,14208 14209 14202 14203 14201 14206 14207 14204 14220 14222 14211 14210 14213 14212 14215 14214 14216 14205 14233 14240 14263 14264 14267 14269 14270 14272 14273 14276 14280,502.0,489.0,3.41,3.15,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664
burlington,nc,91.8,37.0,north carolina,Guilford County,Burlington city,27215.0,54337.0,300000.0,burlington,Burlington,nc,North Carolina,Alamance,147415.0,726.6,America/New_York,27217 27215,505.0,498.0,3.54,3.34,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445
burlington,vt,112.8,50.0,vermont,Addison County,Bristol,5401.0,36283.0,27493.0,burlington,Burlington,vt,Vermont,Chittenden,123307.0,1673.1,America/New_York,05405 05401 05408 05406,524.0,522.0,3.5,3.27,21.630000000000003,18.87,23.77,34.06,47.38,58.07000000000001,64.72,66.82000000000001,62.36666666666666,53.5,40.96666666666667,29.6
